positivity,sample_size,estimator,method,parameter,type,mean_psi,psi_specific,psi_standard,mean_sd,sd_psi,sd_ratio,se_psi,mean_ci95_length,specific_bias,specific_coverage,standard_bias,standard_coverage,specific_coverage_se,specific_mse,standard_coverage_se,standard_mse
no,1e+05,TMLE,TMLE (RIT),0.02,alpha,0.150010853827178,0.14999628283083,0.14999628283083,0.00209912890405224,0.00194565399219172,1.07888088656896,8.70122917446905e-05,0.00822843410169886,1.45709963482072e-05,0.972,1.45709963482072e-05,0.972,0.00737780455149092,3.78578177126615e-06,0.00737780455149092,3.78578177126615e-06
no,1e+05,IPTW,IPTW (RIT),0.03,alpha,0.149999833076542,0.14999628283083,0.14999628283083,0.00316243039284319,0.00194788782130244,1.62351771917166,8.71121916195243e-05,0.012396499347175,3.55024571163317e-06,0.998,3.55024571163317e-06,0.998,0.00199799899899875,3.79427956862298e-06,0.00199799899899875,3.79427956862298e-06
no,1e+05,HAJEK,HAJEK (RIT),0.03,alpha,0.150011649182847,0.14999628283083,0.14999628283083,0.00213893857823244,0.00194537550620371,1.09949907943812,8.69998374726912e-05,0.00838448515695779,1.5366352017336e-05,0.976,1.5366352017336e-05,0.976,0.00684455988358638,3.78472198491166e-06,0.00684455988358638,3.78472198491166e-06
no,1e+05,OSE,OSE (RIT),0.03,alpha,0.150010858373136,0.14999628283083,0.14999628283083,0.00209918443454987,0.0019456079235976,1.07893497404569,8.70102314945289e-05,0.00822865177724964,1.45755423055249e-05,0.972,1.45755423055249e-05,0.972,0.00737780455149092,3.78560263879925e-06,0.00737780455149092,3.78560263879925e-06
no,1e+05,TMLE,TMLE (RIT),0.03,alpha,0.150010853827178,0.14999628283083,0.14999628283083,0.00209912890405224,0.00194565399219172,1.07888088656896,8.70122917446905e-05,0.00822843410169886,1.45709963482072e-05,0.972,1.45709963482072e-05,0.972,0.00737780455149092,3.78578177126615e-06,0.00737780455149092,3.78578177126615e-06
no,1e+05,IPTW,IPTW (RIT),0.04,alpha,0.149999833076542,0.14999628283083,0.14999628283083,0.00316243039284319,0.00194788782130244,1.62351771917166,8.71121916195243e-05,0.012396499347175,3.55024571163317e-06,0.998,3.55024571163317e-06,0.998,0.00199799899899875,3.79427956862298e-06,0.00199799899899875,3.79427956862298e-06
no,1e+05,HAJEK,HAJEK (RIT),0.04,alpha,0.150011649182847,0.14999628283083,0.14999628283083,0.00213893857823244,0.00194537550620371,1.09949907943812,8.69998374726912e-05,0.00838448515695779,1.5366352017336e-05,0.976,1.5366352017336e-05,0.976,0.00684455988358638,3.78472198491166e-06,0.00684455988358638,3.78472198491166e-06
no,1e+05,OSE,OSE (RIT),0.04,alpha,0.150010858373136,0.14999628283083,0.14999628283083,0.00209918443454987,0.0019456079235976,1.07893497404569,8.70102314945289e-05,0.00822865177724964,1.45755423055249e-05,0.972,1.45755423055249e-05,0.972,0.00737780455149092,3.78560263879925e-06,0.00737780455149092,3.78560263879925e-06
no,1e+05,TMLE,TMLE (RIT),0.04,alpha,0.150010853827178,0.14999628283083,0.14999628283083,0.00209912890405224,0.00194565399219172,1.07888088656896,8.70122917446905e-05,0.00822843410169886,1.45709963482072e-05,0.972,1.45709963482072e-05,0.972,0.00737780455149092,3.78578177126615e-06,0.00737780455149092,3.78578177126615e-06
no,1e+05,IPTW,IPTW (RIT),0.05,alpha,0.149999833076542,0.14999628283083,0.14999628283083,0.00316243039284319,0.00194788782130244,1.62351771917166,8.71121916195243e-05,0.012396499347175,3.55024571163317e-06,0.998,3.55024571163317e-06,0.998,0.00199799899899875,3.79427956862298e-06,0.00199799899899875,3.79427956862298e-06
no,1e+05,HAJEK,HAJEK (RIT),0.05,alpha,0.150011649182847,0.14999628283083,0.14999628283083,0.00213893857823244,0.00194537550620371,1.09949907943812,8.69998374726912e-05,0.00838448515695779,1.5366352017336e-05,0.976,1.5366352017336e-05,0.976,0.00684455988358638,3.78472198491166e-06,0.00684455988358638,3.78472198491166e-06
no,1e+05,OSE,OSE (RIT),0.05,alpha,0.150010858373136,0.14999628283083,0.14999628283083,0.00209918443454987,0.0019456079235976,1.07893497404569,8.70102314945289e-05,0.00822865177724964,1.45755423055249e-05,0.972,1.45755423055249e-05,0.972,0.00737780455149092,3.78560263879925e-06,0.00737780455149092,3.78560263879925e-06
no,1e+05,TMLE,TMLE (RIT),0.05,alpha,0.150010853827178,0.14999628283083,0.14999628283083,0.00209912890405224,0.00194565399219172,1.07888088656896,8.70122917446905e-05,0.00822843410169886,1.45709963482072e-05,0.972,1.45709963482072e-05,0.972,0.00737780455149092,3.78578177126615e-06,0.00737780455149092,3.78578177126615e-06
no,1e+05,IPTW,IPTW (Standard),,none,0.149999833076542,0.14999628283083,0.14999628283083,0.00316243039284319,0.00194788782130244,1.62351771917166,8.71121916195243e-05,0.012396499347175,3.55024571163317e-06,0.998,3.55024571163317e-06,0.998,0.00199799899899875,3.79427956862298e-06,0.00199799899899875,3.79427956862298e-06
no,1e+05,HAJEK,HAJEK (Standard),,none,0.150011649182847,0.14999628283083,0.14999628283083,0.00213893857823244,0.00194537550620371,1.09949907943812,8.69998374726912e-05,0.00838448515695779,1.5366352017336e-05,0.976,1.5366352017336e-05,0.976,0.00684455988358638,3.78472198491166e-06,0.00684455988358638,3.78472198491166e-06
no,1e+05,OSE,OSE (Standard),,none,0.150010858373136,0.14999628283083,0.14999628283083,0.00209918443454987,0.0019456079235976,1.07893497404569,8.70102314945289e-05,0.00822865177724964,1.45755423055249e-05,0.972,1.45755423055249e-05,0.972,0.00737780455149092,3.78560263879925e-06,0.00737780455149092,3.78560263879925e-06
no,1e+05,TMLE,TMLE (Standard),,none,0.150010853827178,0.14999628283083,0.14999628283083,0.00209912890405224,0.00194565399219172,1.07888088656896,8.70122917446905e-05,0.00822843410169886,1.45709963482072e-05,0.972,1.45709963482072e-05,0.972,0.00737780455149092,3.78578177126615e-06,0.00737780455149092,3.78578177126615e-06
no,1e+05,IPTW,IPTW (Trimmed),1e-06,alpha,0.149999833076542,0.14999628283083,0.14999628283083,0.00316243039284319,0.00194788782130244,1.62351771917166,8.71121916195243e-05,0.012396499347175,3.55024571163317e-06,0.998,3.55024571163317e-06,0.998,0.00199799899899875,3.79427956862298e-06,0.00199799899899875,3.79427956862298e-06
no,1e+05,HAJEK,HAJEK (Trimmed),1e-06,alpha,0.150011649182847,0.14999628283083,0.14999628283083,0.00213893857823244,0.00194537550620371,1.09949907943812,8.69998374726912e-05,0.00838448515695779,1.5366352017336e-05,0.976,1.5366352017336e-05,0.976,0.00684455988358638,3.78472198491166e-06,0.00684455988358638,3.78472198491166e-06
no,1e+05,OSE,OSE (Trimmed),1e-06,alpha,0.150010858373136,0.14999628283083,0.14999628283083,0.00209918443454987,0.0019456079235976,1.07893497404569,8.70102314945289e-05,0.00822865177724964,1.45755423055249e-05,0.972,1.45755423055249e-05,0.972,0.00737780455149092,3.78560263879925e-06,0.00737780455149092,3.78560263879925e-06
